organisationunitid,uid,name,shortname,nhfrid,subcounty_uid,subcounty,admin_unit_uid,admin_unit,district_uid,district,region_uid,region,hflevel,ownership,status,reporting
38367,pUeR6j03GhJ,Alop Health Centre II,Alop HC II,8.00802E+12,FihNC5KfGJV,Adilang Subcounty,it2iwePQWDT,Agago DLG,ztIyIYAzFKp,Agago District,SUvODYOcaVf,Acholi,HC II,GOV,Functional,Reporting
38366,FvewOonC8lS,Adilang Health Centre III,Adilang HC III,8.00802E+12,nXAQOdNQCIo,Adilang Town Council,it2iwePQWDT,Agago DLG,ztIyIYAzFKp,Agago District,SUvODYOcaVf,Acholi,HC III,GOV,Functional,Reporting
34484,G51dLKvQTxh,David Fagerlee's Medical Centre,David Fagerlee's  Medical Centre,8.00802E+12,nXAQOdNQCIo,Adilang Town Council,it2iwePQWDT,Agago DLG,ztIyIYAzFKp,Agago District,SUvODYOcaVf,Acholi,HC II,PNFP,Functional,Reporting
38384,RHk4V3ZlFbx,Lukole Health Centre III,Lukole HC III,8.00803E+12,lhKxF8mfub4,Agago Town Council,it2iwePQWDT,Agago DLG,ztIyIYAzFKp,Agago District,SUvODYOcaVf,Acholi,HC III,GOV,Functional,Reporting
38365,wLkwoyLOOZe,Acuru Health Centre II,Acuru HC II,8.00802E+12,kYiQXgFKSkQ,Agengo Subcounty,it2iwePQWDT,Agago DLG,ztIyIYAzFKp,Agago District,SUvODYOcaVf,Acholi,HC II,GOV,Functional,Reporting
38385,cPeDqm6vYHn,Obolokome Health Centre II,Obolokome (Lira) HC II,8.00803E+12,kYiQXgFKSkQ,Agengo Subcounty,it2iwePQWDT,Agago DLG,ztIyIYAzFKp,Agago District,SUvODYOcaVf,Acholi,HC II,GOV,Functional,Reporting
38395,QaoM6583QZW,Otumpili Health Centre II,Otumpili HC II,8.00803E+12,vAPl9BMv3lt,Ajali Subcounty,it2iwePQWDT,Agago DLG,ztIyIYAzFKp,Agago District,SUvODYOcaVf,Acholi,HC II,GOV,Functional,Reporting
38364,aKoVWgIufTx,Acholpii Health Centre III,Acholpii HC III,8.00803E+12,y2tqwpJlSZd,Arum Subcounty,it2iwePQWDT,Agago DLG,ztIyIYAzFKp,Agago District,SUvODYOcaVf,Acholi,HC III,GOV,Functional,Reporting
38369,WgXtPbUAyJD,Geregere Health Centre II,Geregere HC II,8.00803E+12,ollO9yOclEb,Geregere Subcounty,it2iwePQWDT,Agago DLG,ztIyIYAzFKp,Agago District,SUvODYOcaVf,Acholi,HC II,GOV,Functional,Reporting
38371,y8q1syPdfdK,Dr. Ambrosoli Memorial Hospital Kalongo,Kalongo Ambrosoli Memorial Hospital,8.00803E+12,RXwynIETRuW,Kalongo Town Council,it2iwePQWDT,Agago DLG,ztIyIYAzFKp,Agago District,SUvODYOcaVf,Acholi,General Hospital,PNFP,Functional,Reporting
38373,xErihzThO6h,Kotomor Health Centre III,Kotomor HC III,8.00803E+12,nmK9yk0kjmP,Kotomor Subcounty,it2iwePQWDT,Agago DLG,ztIyIYAzFKp,Agago District,SUvODYOcaVf,Acholi,HC III,GOV,Functional,Reporting
